spec,epskappa_ols,se_ols,epskappa_ppml
own_simple,0.023123868265343617,0.0036073544960277606,0.026402940759892066
own_empweighted,0.02557998073631475,0.003998258841491405,0.028282276399415635
arsw_minutes,0.06974174094900368,0.00557590615406047,0.07970151518953197
