target_id,year,price,price_se,lprice,lprice_se,target_X,target_Y,outer_radius_used,inner_radius_used,outer_obs_used,inner_obs_used
10115,2007,534.172360654613,12.9153655161548,6.28071855964172,0.0238906068330822,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,832,40
10115,2008,598.688366540281,16.661674941952,6.39474120654205,0.0274500724887116,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,368,23
10115,2009,582.73447035444,9.50428951666129,6.36773162866235,0.0161782355068772,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,191,54
10115,2010,660.133652483824,21.0680234753372,6.49244231828272,0.0314160908068976,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,397,16
10115,2011,715.338040697844,10.0824801446635,6.57275521515956,0.0139963002917417,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,344,20
10115,2012,849.789588230681,7.55559597648812,6.74498877558245,0.00885184395912313,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,187,35
10115,2013,754.147271791906,15.1110465410948,6.62558766961428,0.019839158091971,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,317,28
10115,2014,796.136419121052,6.26457045314544,6.67977055196571,0.00783791794919621,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,471,31
10115,2015,784.222274886691,54.7629127105836,6.66469249405403,0.0675005574269085,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,320,73
10115,2016,943.600820583899,59.314253642255,6.84970321716424,0.0609628954542749,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,216,38
10115,2017,1168.73886498863,3.75951981237199,7.06368055327505,0.00321156947598739,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,171,35
10115,2018,1301.22568661353,18.8460764125955,7.17106193511564,0.0143794449158858,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,309,18
10115,2019,1152.13144050498,8.03417403850767,7.04936893240777,0.00694911265999135,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,276,38
10115,2020,1227.36350408616,19.3443281802583,7.1126236551852,0.0156379665446566,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,329,16
10115,2021,1169.36901025644,27.1915093724117,7.06421957484009,0.0229869117798333,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,210,28
10115,2022,1215.17025948737,245.329666371016,7.1026394772225,0.183894593840746,797406.274894738,5829285.98361415,0.763290331737085,0.0957995880294298,62,7
10117,2007,616.359701865238,180.905088288898,6.42383072471122,0.2573561324702,797708.86579522,5827635.43257512,0.719266186496072,0.556713361264809,663,20
10117,2008,695.071659772698,325.233520344813,6.54401494783619,0.383842109885514,797708.86579522,5827635.43257512,0.719266186496072,0.556713361264809,630,25
10117,2009,525.889748055344,303.982937842247,6.2650915863101,0.456180712230186,797708.86579522,5827635.43257512,0.719266186496072,0.556713361264809,497,7
10117,2010,353.947830909934,203.037898042566,5.86914953196278,0.453390086366075,797708.86579522,5827635.43257512,0.719266186496072,0.556713361264809,264,41
10117,2011,444.714029979436,47.5434913415188,6.09743144633186,0.1015705505444,797708.86579522,5827635.43257512,0.719266186496072,0.556713361264809,156,81
10117,2012,603.056149710341,688.337257196094,6.40201030965629,0.761466765138528,797708.86579522,5827635.43257512,0.719266186496072,0.556713361264809,313,72
10117,2013,986.507281035599,30.3427231270043,6.89417070611014,0.0302941905285694,797708.86579522,5827635.43257512,0.719266186496072,0.556713361264809,268,50
10117,2014,1154.56396251898,177.73726718832,7.05147803004808,0.143184943913462,797708.86579522,5827635.43257512,0.719266186496072,0.556713361264809,409,31
10117,2015,1320.49616589972,106.181399488254,7.18576282821137,0.077340810957823,797708.86579522,5827635.43257512,0.719266186496072,0.556713361264809,174,31
